Country Name,"Country Code","Series Name","Series Code","1990 [YR1990]","2000 [YR2000]","2010 [YR2010]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2030 [YR2030]","2040 [YR2040]","2050 [YR2050]"
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - LULUCF","CC.EAR.LUL","-416798.3193","-414845.2641","-400995.7818","-416955.9124","-230358.8477","-229156.2178","-229267.166","-230206.8886","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Manure applied to Soils","CC.EAR.SAS","13156.7724","14136.4909","14170.2229","14168.4433","14391.7684","14532.9267","14561.5886","14560.9379","..","..","..","16099.7165","..","17185.8139"
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Manure left on Pasture","CC.EAR.MLP","33908.8051","34878.1471","34446.0781","32643.4822","33695.9801","34317.0966","34560.302","34776.8604","..","..","..","36227.0524","..","35363.2554"
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Manure Management","CC.EAR.MMA","47024.7024","48654.7205","50241.6456","51323.3616","52508.5944","53423.1383","54220.6053","55295.1808","..","..","..","52361.1735","..","53275.6564"
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Net Forest conversion","CC.EAR.NFC","61079.6853","61079.6853","0","0","59727.2867","59727.2867","59727.2867","59727.2867","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - On-farm energy use","CC.EAR.OEU","54454.7001","53054.1528","56536.7529","53322.7362","51375.6099","50581.2958","51008.0022","50536.2785","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Rice Cultivation","CC.EAR.RCA","11195.52","12052.53","14336.91","10212.384","12282.536","9415.154","11540.97","9803.822","..","..","..","14035.8307","..","14773.0237"
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Savanna fires","CC.EAR.SVF","1391.8472","1385.9744","790.0148","1615.9468","1218.032","1755.2526","1544.4357","1019.7526","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Synthetic Fertilizers","CC.EAR.SFE","56149.3898","59058.147","61007.3608","64927.6902","64588.6631","64956.7762","64250.3931","64598.6108","..","..","..","56291.6564","..","59238.1124"
United States,"USA","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - AFOLU","CC.ECA.AFO","221634.6903","226208.5337","224395.9814","216007.7928","222762.2316","224134.2173","227995.0327","227206.2734","..","..","..","234014.0083","..","232979.52"
